assignee,completion_date,estimated_completion_date,task_priority,sub_task,remain_sub_task_level,actual_duration,start_date,total_assign_task
Eve,2025-05-01 16:45:13.462214,2025-04-29 16:45:13.462214,very low,3 pending subtasks,high,11,2025-04-20 16:45:13.462214,3
Charlie,2025-05-11 16:45:13.462214,2025-05-10 16:45:13.462214,medium,5 pending subtasks,low,6,2025-05-05 16:45:13.462214,9
Charlie,2025-03-22 16:45:13.462214,2025-03-22 16:45:13.462214,low,2 pending subtasks,high,5,2025-03-17 16:45:13.462214,8
David,2025-05-13 16:45:13.462214,2025-05-13 16:45:13.462214,low,2 pending subtasks,low,3,2025-05-10 16:45:13.462214,8
Frank,2025-04-22 16:45:13.462214,2025-04-20 16:45:13.462214,very low,1 pending subtasks,very low,12,2025-04-10 16:45:13.462214,16
Alice,2025-04-04 16:45:13.462214,2025-04-04 16:45:13.462214,very high,4 pending subtasks,very low,8,2025-03-27 16:45:13.462214,12
Frank,2025-04-12 16:45:13.462214,2025-04-11 16:45:13.462214,very high,4 pending subtasks,medium,3,2025-04-09 16:45:13.462214,6
Eve,2025-04-19 16:45:13.462214,2025-04-18 16:45:13.462214,very high,1 pending subtasks,low,8,2025-04-11 16:45:13.462214,17
Grace,2025-05-07 16:45:13.462214,2025-05-06 16:45:13.462214,very high,5 pending subtasks,very low,8,2025-04-29 16:45:13.462214,12
Grace,2025-04-08 16:45:13.462214,2025-04-09 16:45:13.462214,low,1 pending subtasks,high,11,2025-03-28 16:45:13.462214,17
Heidi,2025-05-01 16:45:13.462214,2025-04-30 16:45:13.462214,very low,2 pending subtasks,very low,4,2025-04-27 16:45:13.462214,13
Bob,2025-03-27 16:45:13.462214,2025-03-26 16:45:13.462214,very high,2 pending subtasks,medium,5,2025-03-22 16:45:13.462214,18
Eve,2025-03-25 16:45:13.462214,2025-03-24 16:45:13.462214,high,3 pending subtasks,very high,5,2025-03-20 16:45:13.462214,12
Charlie,2025-05-06 16:45:13.462214,2025-05-05 16:45:13.462214,low,3 pending subtasks,high,7,2025-04-29 16:45:13.462214,12
Grace,2025-03-28 16:45:13.462214,2025-03-27 16:45:13.462214,low,2 pending subtasks,very high,2,2025-03-26 16:45:13.462214,19
David,2025-05-16 16:45:13.462214,2025-05-17 16:45:13.462214,medium,5 pending subtasks,low,10,2025-05-06 16:45:13.462214,14
Grace,2025-05-07 16:45:13.462214,2025-05-06 16:45:13.462214,low,1 pending subtasks,high,1,2025-05-06 16:45:13.462214,6
Grace,2025-04-25 16:45:13.462214,2025-04-24 16:45:13.462214,very high,3 pending subtasks,very high,5,2025-04-20 16:45:13.462214,16
Eve,2025-05-07 16:45:13.462214,2025-05-05 16:45:13.462214,very high,4 pending subtasks,very low,13,2025-04-24 16:45:13.462214,4
Charlie,2025-04-28 16:45:13.462214,2025-04-27 16:45:13.462214,medium,1 pending subtasks,high,4,2025-04-24 16:45:13.462214,15
Frank,2025-04-26 16:45:13.462214,2025-04-24 16:45:13.462214,medium,5 pending subtasks,very high,12,2025-04-14 16:45:13.462214,9
Frank,2025-04-27 16:45:13.462214,2025-04-26 16:45:13.462214,very low,5 pending subtasks,medium,2,2025-04-25 16:45:13.462214,7
Charlie,2025-05-17 16:45:13.462214,2025-05-17 16:45:13.462214,medium,3 pending subtasks,medium,5,2025-05-12 16:45:13.462214,17
Heidi,2025-05-04 16:45:13.462214,2025-05-05 16:45:13.462214,high,4 pending subtasks,very low,11,2025-04-23 16:45:13.462214,20
Eve,2025-04-03 16:45:13.462214,2025-04-02 16:45:13.462214,low,3 pending subtasks,low,2,2025-04-01 16:45:13.462214,14
Grace,2025-05-17 16:45:13.462214,2025-05-17 16:45:13.462214,very low,2 pending subtasks,very low,7,2025-05-10 16:45:13.462214,11
David,2025-03-31 16:45:13.462214,2025-03-30 16:45:13.462214,medium,5 pending subtasks,medium,12,2025-03-19 16:45:13.462214,13
Eve,2025-04-28 16:45:13.462214,2025-04-28 16:45:13.462214,medium,5 pending subtasks,very high,5,2025-04-23 16:45:13.462214,15
Grace,2025-04-12 16:45:13.462214,2025-04-11 16:45:13.462214,very low,2 pending subtasks,low,6,2025-04-06 16:45:13.462214,9
Bob,2025-04-22 16:45:13.462214,2025-04-20 16:45:13.462214,high,1 pending subtasks,very low,9,2025-04-13 16:45:13.462214,3
Heidi,2025-04-14 16:45:13.462214,2025-04-14 16:45:13.462214,very low,5 pending subtasks,high,5,2025-04-09 16:45:13.462214,3
Bob,2025-04-02 16:45:13.462214,2025-04-01 16:45:13.462214,low,4 pending subtasks,very low,3,2025-03-30 16:45:13.462214,10
David,2025-04-01 16:45:13.463219,2025-03-30 16:45:13.463219,medium,2 pending subtasks,high,10,2025-03-22 16:45:13.463219,5
Charlie,2025-05-03 16:45:13.463219,2025-04-30 16:45:13.463219,medium,4 pending subtasks,medium,12,2025-04-21 16:45:13.463219,15
Eve,2025-04-20 16:45:13.463219,2025-04-20 16:45:13.463219,low,2 pending subtasks,very high,1,2025-04-19 16:45:13.463219,19
Heidi,2025-05-17 16:45:13.463219,2025-05-17 16:45:13.463219,very high,5 pending subtasks,high,14,2025-05-03 16:45:13.463219,18
Eve,2025-03-29 16:45:13.463219,2025-03-30 16:45:13.463219,high,2 pending subtasks,very high,11,2025-03-18 16:45:13.463219,3
Heidi,2025-04-04 16:45:13.463219,2025-04-03 16:45:13.463219,high,2 pending subtasks,medium,7,2025-03-28 16:45:13.463219,10
Alice,2025-04-12 16:45:13.463219,2025-04-11 16:45:13.463219,low,3 pending subtasks,medium,1,2025-04-11 16:45:13.463219,16
Alice,2025-03-27 16:45:13.463219,2025-03-27 16:45:13.463219,high,3 pending subtasks,high,3,2025-03-24 16:45:13.463219,1
Grace,2025-05-10 16:45:13.463219,2025-05-11 16:45:13.463219,very high,1 pending subtasks,low,14,2025-04-26 16:45:13.463219,18
Frank,2025-05-12 16:45:13.463219,2025-05-11 16:45:13.463219,very high,4 pending subtasks,high,8,2025-05-04 16:45:13.463219,8
Charlie,2025-05-24 16:45:13.463219,2025-05-25 16:45:13.463219,high,2 pending subtasks,high,13,2025-05-11 16:45:13.463219,9
Bob,2025-04-25 16:45:13.463219,2025-04-24 16:45:13.463219,low,5 pending subtasks,very high,7,2025-04-18 16:45:13.463219,9
Eve,2025-05-10 16:45:13.463219,2025-05-10 16:45:13.463219,very high,4 pending subtasks,medium,6,2025-05-04 16:45:13.463219,7
Bob,2025-05-02 16:45:13.463219,2025-04-30 16:45:13.463219,medium,4 pending subtasks,very low,11,2025-04-21 16:45:13.463219,20
Heidi,2025-04-01 16:45:13.463219,2025-03-31 16:45:13.463219,very high,2 pending subtasks,high,4,2025-03-28 16:45:13.463219,11
Alice,2025-04-27 16:45:13.463219,2025-04-25 16:45:13.463219,very high,2 pending subtasks,very low,10,2025-04-17 16:45:13.463219,4
Eve,2025-04-27 16:45:13.463219,2025-04-25 16:45:13.463219,high,2 pending subtasks,very low,13,2025-04-14 16:45:13.463219,3
Charlie,2025-04-16 16:45:13.463219,2025-04-14 16:45:13.463219,low,4 pending subtasks,medium,7,2025-04-09 16:45:13.463219,10
Heidi,2025-04-17 16:45:13.463219,2025-04-19 16:45:13.463219,high,3 pending subtasks,very low,11,2025-04-06 16:45:13.463219,3
Charlie,2025-05-09 16:45:13.463219,2025-05-08 16:45:13.463219,high,5 pending subtasks,very low,2,2025-05-07 16:45:13.463219,16
Charlie,2025-05-02 16:45:13.463219,2025-04-30 16:45:13.463219,medium,1 pending subtasks,high,10,2025-04-22 16:45:13.463219,4
David,2025-04-16 16:45:13.463219,2025-04-15 16:45:13.463219,high,1 pending subtasks,low,9,2025-04-07 16:45:13.463219,7
Heidi,2025-04-07 16:45:13.463219,2025-04-07 16:45:13.463219,very low,2 pending subtasks,very high,2,2025-04-05 16:45:13.463219,16
Grace,2025-05-01 16:45:13.463219,2025-05-01 16:45:13.463219,medium,2 pending subtasks,medium,5,2025-04-26 16:45:13.463219,2
Bob,2025-04-24 16:45:13.463219,2025-04-23 16:45:13.463219,medium,3 pending subtasks,low,6,2025-04-18 16:45:13.463219,2
David,2025-03-28 16:45:13.463219,2025-03-30 16:45:13.463219,low,3 pending subtasks,high,12,2025-03-16 16:45:13.463219,1
Charlie,2025-04-25 16:45:13.463219,2025-04-25 16:45:13.463219,very high,4 pending subtasks,very low,5,2025-04-20 16:45:13.463219,8
Alice,2025-04-07 16:45:13.463219,2025-04-08 16:45:13.463219,very high,5 pending subtasks,high,6,2025-04-01 16:45:13.463219,5
Frank,2025-05-03 16:45:13.463219,2025-05-04 16:45:13.463219,low,4 pending subtasks,low,11,2025-04-22 16:45:13.463219,3
Frank,2025-03-23 16:45:13.463219,2025-03-24 16:45:13.463219,very low,3 pending subtasks,very low,6,2025-03-17 16:45:13.463219,5
Bob,2025-04-24 16:45:13.463219,2025-04-22 16:45:13.463219,low,5 pending subtasks,medium,8,2025-04-16 16:45:13.463219,12
Heidi,2025-04-21 16:45:13.463219,2025-04-22 16:45:13.463219,very low,3 pending subtasks,high,12,2025-04-09 16:45:13.463219,5
Eve,2025-04-07 16:45:13.463219,2025-04-08 16:45:13.463219,high,5 pending subtasks,high,9,2025-03-29 16:45:13.463219,10
Heidi,2025-03-28 16:45:13.463219,2025-03-27 16:45:13.463219,low,3 pending subtasks,very high,7,2025-03-21 16:45:13.463219,11
Heidi,2025-05-16 16:45:13.463219,2025-05-14 16:45:13.463219,very high,2 pending subtasks,very high,13,2025-05-03 16:45:13.463219,3
Charlie,2025-05-06 16:45:13.463219,2025-05-05 16:45:13.463219,medium,3 pending subtasks,very high,10,2025-04-26 16:45:13.463219,15
Alice,2025-05-04 16:45:13.463219,2025-05-05 16:45:13.463219,very high,2 pending subtasks,high,12,2025-04-22 16:45:13.463219,1
Frank,2025-03-30 16:45:13.464226,2025-03-31 16:45:13.464226,low,1 pending subtasks,medium,14,2025-03-16 16:45:13.464226,18
Grace,2025-05-23 16:45:13.464226,2025-05-21 16:45:13.464226,high,2 pending subtasks,very high,12,2025-05-11 16:45:13.464226,20
Eve,2025-03-31 16:45:13.464226,2025-03-30 16:45:13.464226,medium,1 pending subtasks,very low,11,2025-03-20 16:45:13.464226,17
Bob,2025-05-15 16:45:13.464226,2025-05-14 16:45:13.464226,low,1 pending subtasks,low,3,2025-05-12 16:45:13.464226,7
Bob,2025-03-25 16:45:13.464226,2025-03-24 16:45:13.464226,very low,5 pending subtasks,very low,4,2025-03-21 16:45:13.464226,13
Heidi,2025-04-02 16:45:13.464226,2025-04-02 16:45:13.464226,very high,1 pending subtasks,medium,10,2025-03-23 16:45:13.464226,12
David,2025-04-19 16:45:13.464226,2025-04-19 16:45:13.464226,very low,2 pending subtasks,very low,5,2025-04-14 16:45:13.464226,16
Bob,2025-05-10 16:45:13.464226,2025-05-09 16:45:13.464226,very low,5 pending subtasks,medium,8,2025-05-02 16:45:13.464226,14
Frank,2025-05-06 16:45:13.464226,2025-05-06 16:45:13.464226,very low,3 pending subtasks,very high,4,2025-05-02 16:45:13.464226,17
Alice,2025-04-05 16:45:13.464226,2025-04-06 16:45:13.464226,medium,2 pending subtasks,very low,11,2025-03-25 16:45:13.464226,17
Bob,2025-04-12 16:45:13.464226,2025-04-10 16:45:13.464226,low,4 pending subtasks,very high,8,2025-04-04 16:45:13.464226,7
David,2025-04-14 16:45:13.464226,2025-04-14 16:45:13.464226,low,2 pending subtasks,very high,6,2025-04-08 16:45:13.464226,18
Grace,2025-04-16 16:45:13.464226,2025-04-16 16:45:13.464226,very high,4 pending subtasks,medium,7,2025-04-09 16:45:13.464226,14
Bob,2025-04-04 16:45:13.464226,2025-04-02 16:45:13.464226,low,4 pending subtasks,very high,8,2025-03-27 16:45:13.464226,17
Frank,2025-03-26 16:45:13.464226,2025-03-26 16:45:13.464226,very high,4 pending subtasks,very high,6,2025-03-20 16:45:13.464226,12
Frank,2025-05-16 16:45:13.464226,2025-05-16 16:45:13.464226,medium,4 pending subtasks,medium,8,2025-05-08 16:45:13.464226,14
Frank,2025-04-20 16:45:13.464226,2025-04-20 16:45:13.464226,very high,2 pending subtasks,very high,10,2025-04-10 16:45:13.464226,13
Eve,2025-04-11 16:45:13.464226,2025-04-10 16:45:13.464226,high,4 pending subtasks,high,4,2025-04-07 16:45:13.464226,1
Alice,2025-04-27 16:45:13.464226,2025-04-27 16:45:13.464226,very high,5 pending subtasks,very low,3,2025-04-24 16:45:13.464226,5
Eve,2025-04-02 16:45:13.464226,2025-03-30 16:45:13.464226,low,3 pending subtasks,low,11,2025-03-22 16:45:13.464226,1
Eve,2025-05-10 16:45:13.464226,2025-05-12 16:45:13.464226,very high,5 pending subtasks,very high,14,2025-04-26 16:45:13.464226,19
Charlie,2025-03-28 16:45:13.464226,2025-03-25 16:45:13.464226,high,2 pending subtasks,medium,13,2025-03-15 16:45:13.464226,5
Eve,2025-04-02 16:45:13.464226,2025-04-01 16:45:13.464226,very high,2 pending subtasks,low,2,2025-03-31 16:45:13.464226,9
Eve,2025-05-14 16:45:13.464226,2025-05-12 16:45:13.464226,high,2 pending subtasks,very high,10,2025-05-04 16:45:13.464226,3
Frank,2025-05-16 16:45:13.464226,2025-05-16 16:45:13.464226,low,5 pending subtasks,high,5,2025-05-11 16:45:13.464226,4
Eve,2025-05-13 16:45:13.464226,2025-05-11 16:45:13.464226,very high,1 pending subtasks,high,9,2025-05-04 16:45:13.464226,2
Frank,2025-04-04 16:45:13.464226,2025-04-03 16:45:13.464226,high,1 pending subtasks,high,1,2025-04-03 16:45:13.464226,8
Alice,2025-05-21 16:45:13.464226,2025-05-21 16:45:13.464226,high,3 pending subtasks,very low,9,2025-05-12 16:45:13.464226,17
Alice,2025-04-08 16:45:13.464226,2025-04-07 16:45:13.464226,very high,3 pending subtasks,low,8,2025-03-31 16:45:13.464226,17
David,2025-04-10 16:45:13.464226,2025-04-08 16:45:13.464226,high,5 pending subtasks,high,9,2025-04-01 16:45:13.464226,19
Bob,2025-04-07 16:45:13.464226,2025-04-06 16:45:13.464226,medium,2 pending subtasks,high,3,2025-04-04 16:45:13.464226,5
Frank,2025-05-12 16:45:13.464226,2025-05-11 16:45:13.464226,very high,5 pending subtasks,very low,2,2025-05-10 16:45:13.464226,13
Eve,2025-04-18 16:45:13.464226,2025-04-16 16:45:13.464226,very high,2 pending subtasks,high,12,2025-04-06 16:45:13.464226,5
Heidi,2025-04-02 16:45:13.464226,2025-04-02 16:45:13.464226,high,5 pending subtasks,high,3,2025-03-30 16:45:13.464226,7
David,2025-04-19 16:45:13.464226,2025-04-18 16:45:13.464226,medium,3 pending subtasks,high,6,2025-04-13 16:45:13.464226,19
Bob,2025-04-21 16:45:13.464226,2025-04-19 16:45:13.464226,high,3 pending subtasks,high,12,2025-04-09 16:45:13.464226,12
David,2025-04-29 16:45:13.465219,2025-04-28 16:45:13.465219,very high,3 pending subtasks,very low,5,2025-04-24 16:45:13.465219,6
Frank,2025-04-10 16:45:13.465219,2025-04-10 16:45:13.465219,high,2 pending subtasks,very high,11,2025-03-30 16:45:13.465219,15
Alice,2025-03-16 16:45:13.465219,2025-03-16 16:45:13.465219,low,3 pending subtasks,low,1,2025-03-15 16:45:13.465219,5
Bob,2025-05-06 16:45:13.465219,2025-05-04 16:45:13.465219,very low,5 pending subtasks,low,10,2025-04-26 16:45:13.465219,5
Eve,2025-03-24 16:45:13.465219,2025-03-22 16:45:13.465219,very low,4 pending subtasks,medium,7,2025-03-17 16:45:13.465219,16
Alice,2025-04-06 16:45:13.465219,2025-04-05 16:45:13.465219,very high,2 pending subtasks,low,12,2025-03-25 16:45:13.465219,18
Eve,2025-05-05 16:45:13.465219,2025-05-05 16:45:13.465219,very high,1 pending subtasks,low,8,2025-04-27 16:45:13.465219,13
Alice,2025-05-02 16:45:13.465219,2025-05-01 16:45:13.465219,very low,2 pending subtasks,medium,8,2025-04-24 16:45:13.465219,20
Eve,2025-04-17 16:45:13.465219,2025-04-16 16:45:13.465219,very low,4 pending subtasks,very low,5,2025-04-12 16:45:13.465219,9
Frank,2025-05-03 16:45:13.465219,2025-05-04 16:45:13.465219,very low,4 pending subtasks,medium,7,2025-04-26 16:45:13.465219,8
Grace,2025-04-12 16:45:13.465219,2025-04-12 16:45:13.465219,very low,4 pending subtasks,medium,6,2025-04-06 16:45:13.465219,20
Bob,2025-05-03 16:45:13.465219,2025-05-02 16:45:13.465219,very high,5 pending subtasks,high,6,2025-04-27 16:45:13.465219,1
Alice,2025-05-14 16:45:13.465219,2025-05-13 16:45:13.465219,very high,3 pending subtasks,medium,9,2025-05-05 16:45:13.465219,16
Grace,2025-05-04 16:45:13.465219,2025-05-04 16:45:13.465219,very low,3 pending subtasks,medium,9,2025-04-25 16:45:13.465219,12
Eve,2025-05-12 16:45:13.465219,2025-05-10 16:45:13.465219,very high,1 pending subtasks,medium,11,2025-05-01 16:45:13.465219,9
Grace,2025-04-26 16:45:13.465219,2025-04-27 16:45:13.465219,very low,3 pending subtasks,very high,9,2025-04-17 16:45:13.465219,8
Charlie,2025-04-08 16:45:13.465219,2025-04-07 16:45:13.465219,high,1 pending subtasks,low,10,2025-03-29 16:45:13.465219,13
David,2025-04-06 16:45:13.465219,2025-04-05 16:45:13.465219,very high,4 pending subtasks,low,10,2025-03-27 16:45:13.465219,10
Frank,2025-05-04 16:45:13.465219,2025-05-03 16:45:13.465219,low,2 pending subtasks,low,7,2025-04-27 16:45:13.465219,19
David,2025-05-03 16:45:13.465219,2025-05-04 16:45:13.465219,medium,2 pending subtasks,very high,7,2025-04-26 16:45:13.465219,14
Charlie,2025-04-22 16:45:13.465219,2025-04-22 16:45:13.465219,very high,3 pending subtasks,low,5,2025-04-17 16:45:13.465219,3
Bob,2025-05-01 16:45:13.465219,2025-04-29 16:45:13.465219,low,3 pending subtasks,very low,10,2025-04-21 16:45:13.465219,14
Grace,2025-05-20 16:45:13.465219,2025-05-18 16:45:13.465219,medium,2 pending subtasks,low,14,2025-05-06 16:45:13.465219,4
Charlie,2025-05-03 16:45:13.465219,2025-05-02 16:45:13.465219,very high,3 pending subtasks,very high,5,2025-04-28 16:45:13.465219,20
David,2025-05-15 16:45:13.465219,2025-05-15 16:45:13.465219,low,3 pending subtasks,very low,9,2025-05-06 16:45:13.465219,3
Heidi,2025-03-31 16:45:13.465219,2025-03-29 16:45:13.465219,very high,3 pending subtasks,high,8,2025-03-23 16:45:13.465219,6
Grace,2025-04-04 16:45:13.465219,2025-04-03 16:45:13.465219,low,2 pending subtasks,low,11,2025-03-24 16:45:13.465219,8
Alice,2025-05-03 16:45:13.465219,2025-05-02 16:45:13.465219,very low,4 pending subtasks,medium,13,2025-04-20 16:45:13.465219,8
David,2025-05-09 16:45:13.465219,2025-05-10 16:45:13.465219,very low,4 pending subtasks,low,14,2025-04-25 16:45:13.465219,20
Heidi,2025-03-29 16:45:13.465219,2025-03-29 16:45:13.465219,high,4 pending subtasks,low,7,2025-03-22 16:45:13.465219,13
Alice,2025-04-10 16:45:13.465219,2025-04-10 16:45:13.465219,high,4 pending subtasks,medium,2,2025-04-08 16:45:13.465219,20
Alice,2025-03-25 16:45:13.465219,2025-03-25 16:45:13.465219,high,1 pending subtasks,high,10,2025-03-15 16:45:13.465219,8
Grace,2025-04-05 16:45:13.465219,2025-04-05 16:45:13.465219,very low,4 pending subtasks,very high,1,2025-04-04 16:45:13.465219,17
Alice,2025-05-07 16:45:13.465219,2025-05-06 16:45:13.465219,high,3 pending subtasks,high,8,2025-04-29 16:45:13.465219,10
Heidi,2025-04-20 16:45:13.465219,2025-04-18 16:45:13.465219,medium,1 pending subtasks,very high,12,2025-04-08 16:45:13.465219,17
Charlie,2025-03-27 16:45:13.465219,2025-03-26 16:45:13.465219,high,5 pending subtasks,very low,13,2025-03-14 16:45:13.465219,4
Charlie,2025-04-12 16:45:13.465219,2025-04-12 16:45:13.465219,very high,4 pending subtasks,low,3,2025-04-09 16:45:13.465219,14
Frank,2025-04-17 16:45:13.466224,2025-04-16 16:45:13.466224,low,5 pending subtasks,high,11,2025-04-06 16:45:13.466224,7
Heidi,2025-04-13 16:45:13.466224,2025-04-11 16:45:13.466224,medium,1 pending subtasks,low,10,2025-04-03 16:45:13.466224,3
Bob,2025-03-26 16:45:13.467229,2025-03-26 16:45:13.467229,medium,5 pending subtasks,very low,7,2025-03-19 16:45:13.467229,13
Charlie,2025-04-06 16:45:13.467229,2025-04-05 16:45:13.467229,high,2 pending subtasks,very low,7,2025-03-30 16:45:13.467229,11
Charlie,2025-05-06 16:45:13.467229,2025-05-04 16:45:13.467229,low,1 pending subtasks,low,8,2025-04-28 16:45:13.467229,14
Eve,2025-03-29 16:45:13.467229,2025-03-28 16:45:13.467229,high,2 pending subtasks,medium,4,2025-03-25 16:45:13.467229,4
Charlie,2025-04-20 16:45:13.467229,2025-04-21 16:45:13.467229,very low,3 pending subtasks,very high,6,2025-04-14 16:45:13.467229,1
Heidi,2025-05-01 16:45:13.467229,2025-04-30 16:45:13.467229,high,1 pending subtasks,very high,13,2025-04-18 16:45:13.467229,20
Heidi,2025-04-26 16:45:13.467229,2025-04-25 16:45:13.467229,very high,4 pending subtasks,high,1,2025-04-25 16:45:13.467229,14
Heidi,2025-05-10 16:45:13.467229,2025-05-07 16:45:13.467229,very high,2 pending subtasks,very low,13,2025-04-27 16:45:13.467229,18
Eve,2025-04-13 16:45:13.467229,2025-04-13 16:45:13.467229,very high,1 pending subtasks,low,12,2025-04-01 16:45:13.467229,6
Charlie,2025-05-18 16:45:13.467229,2025-05-16 16:45:13.467229,medium,2 pending subtasks,very low,7,2025-05-11 16:45:13.467229,2
Eve,2025-04-18 16:45:13.467229,2025-04-17 16:45:13.467229,very low,1 pending subtasks,very low,10,2025-04-08 16:45:13.467229,14
Charlie,2025-04-23 16:45:13.467229,2025-04-21 16:45:13.467229,medium,5 pending subtasks,very high,14,2025-04-09 16:45:13.467229,19
Charlie,2025-03-22 16:45:13.467229,2025-03-23 16:45:13.467229,very high,1 pending subtasks,medium,7,2025-03-15 16:45:13.467229,3
Eve,2025-05-13 16:45:13.467229,2025-05-12 16:45:13.467229,high,4 pending subtasks,very low,13,2025-04-30 16:45:13.467229,18
Bob,2025-04-28 16:45:13.467229,2025-04-27 16:45:13.467229,low,3 pending subtasks,very low,3,2025-04-25 16:45:13.467229,11
Grace,2025-03-22 16:45:13.467229,2025-03-22 16:45:13.467229,low,1 pending subtasks,very high,7,2025-03-15 16:45:13.467229,4
Bob,2025-04-01 16:45:13.467229,2025-03-31 16:45:13.467229,very high,4 pending subtasks,medium,4,2025-03-28 16:45:13.467229,20
Frank,2025-04-28 16:45:13.467229,2025-04-26 16:45:13.467229,very high,3 pending subtasks,very high,14,2025-04-14 16:45:13.467229,5
Heidi,2025-04-07 16:45:13.467229,2025-04-07 16:45:13.467229,high,2 pending subtasks,high,13,2025-03-25 16:45:13.467229,20
David,2025-04-02 16:45:13.467229,2025-04-03 16:45:13.467229,low,1 pending subtasks,very low,12,2025-03-21 16:45:13.467229,1
Heidi,2025-03-25 16:45:13.467229,2025-03-25 16:45:13.467229,very low,5 pending subtasks,low,8,2025-03-17 16:45:13.467229,14
Grace,2025-04-08 16:45:13.467229,2025-04-06 16:45:13.467229,medium,2 pending subtasks,very high,9,2025-03-30 16:45:13.467229,1
David,2025-05-17 16:45:13.467229,2025-05-18 16:45:13.467229,medium,3 pending subtasks,very low,14,2025-05-03 16:45:13.467229,10
Frank,2025-04-25 16:45:13.467229,2025-04-25 16:45:13.467229,very low,3 pending subtasks,medium,7,2025-04-18 16:45:13.467229,13
Alice,2025-04-28 16:45:13.467229,2025-04-28 16:45:13.467229,low,3 pending subtasks,medium,5,2025-04-23 16:45:13.467229,16
Heidi,2025-05-26 16:45:13.468218,2025-05-27 16:45:13.468218,low,2 pending subtasks,high,14,2025-05-12 16:45:13.468218,15
Frank,2025-03-28 16:45:13.468218,2025-03-27 16:45:13.468218,high,5 pending subtasks,very low,3,2025-03-25 16:45:13.468218,10
Frank,2025-04-12 16:45:13.468218,2025-04-12 16:45:13.468218,very low,5 pending subtasks,low,14,2025-03-29 16:45:13.468218,11
Frank,2025-04-01 16:45:13.468218,2025-03-29 16:45:13.468218,low,1 pending subtasks,medium,14,2025-03-18 16:45:13.468218,11
Grace,2025-03-28 16:45:13.468218,2025-03-28 16:45:13.468218,low,5 pending subtasks,very high,4,2025-03-24 16:45:13.468218,13
Charlie,2025-05-09 16:45:13.468218,2025-05-09 16:45:13.468218,medium,1 pending subtasks,medium,14,2025-04-25 16:45:13.468218,9
Grace,2025-04-15 16:45:13.468218,2025-04-13 16:45:13.468218,low,4 pending subtasks,medium,9,2025-04-06 16:45:13.468218,10
David,2025-03-27 16:45:13.468218,2025-03-27 16:45:13.468218,low,3 pending subtasks,very low,1,2025-03-26 16:45:13.468218,2
David,2025-04-04 16:45:13.468218,2025-04-06 16:45:13.468218,high,1 pending subtasks,very high,14,2025-03-21 16:45:13.468218,16
Charlie,2025-05-07 16:45:13.468218,2025-05-05 16:45:13.468218,high,3 pending subtasks,very high,9,2025-04-28 16:45:13.468218,11
Charlie,2025-04-29 16:45:13.468218,2025-04-29 16:45:13.468218,very low,2 pending subtasks,very high,1,2025-04-28 16:45:13.468218,7
Alice,2025-03-25 16:45:13.468218,2025-03-24 16:45:13.468218,very high,1 pending subtasks,very low,8,2025-03-17 16:45:13.468218,10
Alice,2025-05-21 16:45:13.468218,2025-05-21 16:45:13.468218,very high,3 pending subtasks,very low,12,2025-05-09 16:45:13.468218,15
Alice,2025-03-25 16:45:13.468218,2025-03-23 16:45:13.468218,medium,5 pending subtasks,very low,10,2025-03-15 16:45:13.468218,10
David,2025-04-19 16:45:13.468218,2025-04-18 16:45:13.468218,low,3 pending subtasks,medium,13,2025-04-06 16:45:13.468218,18
Frank,2025-04-17 16:45:13.468218,2025-04-18 16:45:13.468218,very low,2 pending subtasks,medium,11,2025-04-06 16:45:13.468218,6
Eve,2025-03-20 16:45:13.468218,2025-03-19 16:45:13.468218,very high,5 pending subtasks,very high,6,2025-03-14 16:45:13.468218,4
David,2025-04-12 16:45:13.468218,2025-04-12 16:45:13.468218,very high,3 pending subtasks,medium,8,2025-04-04 16:45:13.468218,5
Eve,2025-04-05 16:45:13.468218,2025-04-05 16:45:13.468218,low,3 pending subtasks,very low,8,2025-03-28 16:45:13.468218,20
Frank,2025-05-16 16:45:13.468218,2025-05-16 16:45:13.468218,very low,1 pending subtasks,low,14,2025-05-02 16:45:13.468218,16
Alice,2025-05-02 16:45:13.468218,2025-05-01 16:45:13.468218,very low,4 pending subtasks,very low,2,2025-04-30 16:45:13.468218,13
Charlie,2025-04-25 16:45:13.468218,2025-04-25 16:45:13.468218,very high,5 pending subtasks,high,7,2025-04-18 16:45:13.468218,12
Eve,2025-03-26 16:45:13.468218,2025-03-25 16:45:13.468218,low,1 pending subtasks,very high,4,2025-03-22 16:45:13.468218,15
Charlie,2025-03-23 16:45:13.468218,2025-03-21 16:45:13.468218,high,4 pending subtasks,very low,8,2025-03-15 16:45:13.468218,10
Heidi,2025-05-06 16:45:13.468218,2025-05-05 16:45:13.468218,low,5 pending subtasks,low,13,2025-04-23 16:45:13.468218,9
Frank,2025-03-25 16:45:13.468218,2025-03-24 16:45:13.468218,medium,4 pending subtasks,medium,5,2025-03-20 16:45:13.468218,16
Alice,2025-04-05 16:45:13.468218,2025-04-02 16:45:13.468218,very low,4 pending subtasks,medium,13,2025-03-23 16:45:13.468218,15
Charlie,2025-04-07 16:45:13.468218,2025-04-06 16:45:13.468218,medium,5 pending subtasks,very high,10,2025-03-28 16:45:13.468218,5
Bob,2025-04-02 16:45:13.468218,2025-04-01 16:45:13.468218,very low,5 pending subtasks,medium,2,2025-03-31 16:45:13.468218,3
